#    L    TT             EE             TE             PP             TP          
     2   0.113043E+04   0.548808E-01   0.339908E+01   0.101346E+07   0.320472E+05
     3   0.105211E+04   0.883130E-01   0.425012E+01   0.155993E+07   0.380145E+05
     4   0.979482E+03   0.977554E-01   0.435795E+01   0.204375E+07   0.407580E+05
     5   0.923542E+03   0.853385E-01   0.402694E+01   0.247014E+07   0.417949E+05
     6   0.882872E+03   0.620300E-01   0.349180E+01   0.284585E+07   0.418885E+05
     7   0.854545E+03   0.388816E-01   0.290111E+01   0.317842E+07   0.414654E+05
     8   0.835340E+03   0.222142E-01   0.234531E+01   0.347392E+07   0.407118E+05
     9   0.823122E+03   0.131021E-01   0.187043E+01   0.373768E+07   0.397244E+05
    10   0.816324E+03   0.941926E-02   0.150122E+01   0.397339E+07   0.386036E+05
    11   0.813372E+03   0.829258E-02   0.124571E+01   0.418552E+07   0.374731E+05
    12   0.814374E+03   0.773989E-02   0.110127E+01   0.437575E+07   0.363926E+05
    13   0.817549E+03   0.691092E-02   0.104366E+01   0.454650E+07   0.353677E+05
    14   0.821960E+03   0.600530E-02   0.104401E+01   0.470039E+07   0.343890E+05
    15   0.827867E+03   0.531400E-02   0.108321E+01   0.483908E+07   0.334260E+05
    16   0.835641E+03   0.504317E-02   0.114555E+01   0.496399E+07   0.324555E+05
    17   0.845192E+03   0.518856E-02   0.121603E+01   0.507660E+07   0.315033E+05
    18   0.855569E+03   0.550844E-02   0.128306E+01   0.517824E+07   0.305987E+05
    19   0.867595E+03   0.586983E-02   0.134115E+01   0.526959E+07   0.297350E+05
    20   0.879592E+03   0.625053E-02   0.138544E+01   0.535129E+07   0.288982E+05
    21   0.891903E+03   0.669537E-02   0.142196E+01   0.542439E+07   0.280827E+05
    22   0.904799E+03   0.733638E-02   0.145703E+01   0.548992E+07   0.272871E+05
    23   0.918088E+03   0.822817E-02   0.149227E+01   0.554838E+07   0.265192E+05
    24   0.931828E+03   0.936653E-02   0.152840E+01   0.560020E+07   0.257868E+05
    25   0.945956E+03   0.107607E-01   0.156726E+01   0.564595E+07   0.250900E+05
    26   0.960284E+03   0.123793E-01   0.161141E+01   0.568622E+07   0.244260E+05
    27   0.975045E+03   0.141782E-01   0.165790E+01   0.572147E+07   0.237891E+05
    28   0.990089E+03   0.161445E-01   0.170396E+01   0.575207E+07   0.231749E+05
    29   0.100547E+04   0.182876E-01   0.174764E+01   0.577810E+07   0.225876E+05
    30   0.102111E+04   0.206243E-01   0.178580E+01   0.579966E+07   0.220308E+05
    31   0.103686E+04   0.231394E-01   0.181613E+01   0.581728E+07   0.214991E+05
    32   0.105299E+04   0.258072E-01   0.183633E+01   0.583152E+07   0.209851E+05
    33   0.106948E+04   0.286383E-01   0.184371E+01   0.584258E+07   0.204843E+05
    34   0.108618E+04   0.316623E-01   0.183747E+01   0.585062E+07   0.199934E+05
    35   0.110304E+04   0.349010E-01   0.182190E+01   0.585584E+07   0.195132E+05
    36   0.111999E+04   0.383751E-01   0.179989E+01   0.585845E+07   0.190467E+05
    37   0.113704E+04   0.420773E-01   0.176757E+01   0.585865E+07   0.186023E+05
    38   0.115451E+04   0.460040E-01   0.172268E+01   0.585660E+07   0.181870E+05
    39   0.117238E+04   0.501667E-01   0.166730E+01   0.585242E+07   0.177950E+05
    40   0.119037E+04   0.545862E-01   0.160439E+01   0.584624E+07   0.174176E+05
    41   0.120858E+04   0.592833E-01   0.153578E+01   0.583815E+07   0.170477E+05
    42   0.122679E+04   0.642593E-01   0.145956E+01   0.582829E+07   0.166853E+05
    43   0.124515E+04   0.695102E-01   0.137291E+01   0.581676E+07   0.163317E+05
    44   0.126350E+04   0.750172E-01   0.127390E+01   0.580371E+07   0.159887E+05
    45   0.128220E+04   0.807721E-01   0.116066E+01   0.578924E+07   0.156576E+05
    46   0.130120E+04   0.867712E-01   0.103010E+01   0.577348E+07   0.153395E+05
    47   0.132035E+04   0.930171E-01   0.884000E+00   0.575652E+07   0.150326E+05
    48   0.133957E+04   0.995212E-01   0.728007E+00   0.573843E+07   0.147347E+05
    49   0.135896E+04   0.106272E+00   0.567189E+00   0.571930E+07   0.144434E+05
    50   0.137874E+04   0.113252E+00   0.399826E+00   0.569922E+07   0.141566E+05
    51   0.139870E+04   0.120436E+00   0.222371E+00   0.567826E+07   0.138726E+05
    52   0.141905E+04   0.127907E+00   0.296060E-01   0.565647E+07   0.135934E+05
    53   0.143942E+04   0.135808E+00  -0.182256E+00   0.563392E+07   0.133217E+05
    54   0.145971E+04   0.144127E+00  -0.409036E+00   0.561066E+07   0.130602E+05
    55   0.148014E+04   0.152836E+00  -0.646435E+00   0.558673E+07   0.128116E+05
    56   0.150092E+04   0.161789E+00  -0.896244E+00   0.556218E+07   0.125778E+05
    57   0.152199E+04   0.170879E+00  -0.115830E+01   0.553706E+07   0.123569E+05
    58   0.154335E+04   0.180118E+00  -0.143317E+01   0.551139E+07   0.121464E+05
